x,y,identifier,dataset_id,station_id,station_name,station_gaw_id,station_gaw_url,contributor_name,contributor_id,contributor_url,country_id,country_name_en,country_name_fr,gaw_id,instrument_name,instrument_model,instrument_serial,observation_date,daily_date,daily_wlcode,daily_obscode,daily_columno3,daily_stdevo3,daily_utc_begin,daily_utc_end,daily_utc_mean,daily_nobs,daily_mmu,daily_columnso2,monthly_date,monthly_columno3,monthly_stdevo3,monthly_npts,url
22.97,40.52,Brewer:MKII:5:TotalOzone_1.0:261:AUTH:WOUDC:2015-03-15:STN261.BR005.201503.TO1,TotalOzone_1.0,261,Thessaloniki,THE,https://gawsis.meteoswiss.ch/GAWSIS/index.html#/search/station/stationReportDetails/0-20008-0-THE,Aristotle University of Thessaloniki,AUTH:WOUDC,http://lap.physics.auth.gr/,GRC,Greece,Grèce,,Brewer,MKII,5,2015-03-02T00:00:00Z,2015-03-15T00:00:00Z,9,DS,360.2,1.8,,,10,21.0,1.62,1.7,2015-03-01T00:00:00Z,379.2,32.7,18.0,https://woudc.org/archive/Archive-NewFormat/TotalOzone_1.0_1/stn261/brewer/2015/STN261.BR005.201503.TO1
22.97,40.52,Brewer:MKII:5:TotalOzone_1.0:261:AUTH:WOUDC:2015-03-14:STN261.BR005.201503.TO1,TotalOzone_1.0,261,Thessaloniki,THE,https://gawsis.meteoswiss.ch/GAWSIS/index.html#/search/station/stationReportDetails/0-20008-0-THE,Aristotle University of Thessaloniki,AUTH:WOUDC,http://lap.physics.auth.gr/,GRC,Greece,Grèce,,Brewer,MKII,5,2015-03-02T00:00:00Z,2015-03-14T00:00:00Z,9,DS,412.1,0.5,,,10,5.0,1.40,1.6,2015-03-01T00:00:00Z,379.2,32.7,18.0,https://woudc.org/archive/Archive-NewFormat/TotalOzone_1.0_1/stn261/brewer/2015/STN261.BR005.201503.TO1
22.97,40.52,Brewer:MKII:5:TotalOzone_1.0:261:AUTH:WOUDC:2015-03-13:STN261.BR005.201503.TO1,TotalOzone_1.0,261,Thessaloniki,THE,https://gawsis.meteoswiss.ch/GAWSIS/index.html#/search/station/stationReportDetails/0-20008-0-THE,Aristotle University of Thessaloniki,AUTH:WOUDC,http://lap.physics.auth.gr/,GRC,Greece,Grèce,,Brewer,MKII,5,2015-03-02T00:00:00Z,2015-03-13T00:00:00Z,9,DS,415.6,2.7,,,8,4.0,1.89,2.5,2015-03-01T00:00:00Z,379.2,32.7,18.0,https://woudc.org/archive/Archive-NewFormat/TotalOzone_1.0_1/stn261/brewer/2015/STN261.BR005.201503.TO1
22.97,40.52,Brewer:MKII:5:TotalOzone_1.0:261:AUTH:WOUDC:2015-03-12:STN261.BR005.201503.TO1,TotalOzone_1.0,261,Thessaloniki,THE,https://gawsis.meteoswiss.ch/GAWSIS/index.html#/search/station/stationReportDetails/0-20008-0-THE,Aristotle University of Thessaloniki,AUTH:WOUDC,http://lap.physics.auth.gr/,GRC,Greece,Grèce,,Brewer,MKII,5,2015-03-02T00:00:00Z,2015-03-12T00:00:00Z,9,DS,432.6,6.4,,,10,12.0,1.67,1.6,2015-03-01T00:00:00Z,379.2,32.7,18.0,https://woudc.org/archive/Archive-NewFormat/TotalOzone_1.0_1/stn261/brewer/2015/STN261.BR005.201503.TO1
22.97,40.52,Brewer:MKII:5:TotalOzone_1.0:261:AUTH:WOUDC:2015-03-10:STN261.BR005.201503.TO1,TotalOzone_1.0,261,Thessaloniki,THE,https://gawsis.meteoswiss.ch/GAWSIS/index.html#/search/station/stationReportDetails/0-20008-0-THE,Aristotle University of Thessaloniki,AUTH:WOUDC,http://lap.physics.auth.gr/,GRC,Greece,Grèce,,Brewer,MKII,5,2015-03-02T00:00:00Z,2015-03-10T00:00:00Z,9,DS,449.5,0.0,,,12,1.0,1.53,2.2,2015-03-01T00:00:00Z,379.2,32.7,18.0,https://woudc.org/archive/Archive-NewFormat/TotalOzone_1.0_1/stn261/brewer/2015/STN261.BR005.201503.TO1
22.97,40.52,Brewer:MKII:5:TotalOzone_1.0:261:AUTH:WOUDC:2015-03-04:STN261.BR005.201503.TO1,TotalOzone_1.0,261,Thessaloniki,THE,https://gawsis.meteoswiss.ch/GAWSIS/index.html#/search/station/stationReportDetails/0-20008-0-THE,Aristotle University of Thessaloniki,AUTH:WOUDC,http://lap.physics.auth.gr/,GRC,Greece,Grèce,,Brewer,MKII,5,2015-03-02T00:00:00Z,2015-03-04T00:00:00Z,9,DS,339.0,6.7,,,10,13.0,2.00,1.4,2015-03-01T00:00:00Z,379.2,32.7,18.0,https://woudc.org/archive/Archive-NewFormat/TotalOzone_1.0_1/stn261/brewer/2015/STN261.BR005.201503.TO1
22.97,40.52,Brewer:MKII:5:TotalOzone_1.0:261:AUTH:WOUDC:2015-03-03:STN261.BR005.201503.TO1,TotalOzone_1.0,261,Thessaloniki,THE,https://gawsis.meteoswiss.ch/GAWSIS/index.html#/search/station/stationReportDetails/0-20008-0-THE,Aristotle University of Thessaloniki,AUTH:WOUDC,http://lap.physics.auth.gr/,GRC,Greece,Grèce,,Brewer,MKII,5,2015-03-02T00:00:00Z,2015-03-03T00:00:00Z,9,DS,342.0,3.6,,,10,12.0,1.90,1.0,2015-03-01T00:00:00Z,379.2,32.7,18.0,https://woudc.org/archive/Archive-NewFormat/TotalOzone_1.0_1/stn261/brewer/2015/STN261.BR005.201503.TO1
22.97,40.52,Brewer:MKII:5:TotalOzone_1.0:261:AUTH:WOUDC:2015-03-02:STN261.BR005.201503.TO1,TotalOzone_1.0,261,Thessaloniki,THE,https://gawsis.meteoswiss.ch/GAWSIS/index.html#/search/station/stationReportDetails/0-20008-0-THE,Aristotle University of Thessaloniki,AUTH:WOUDC,http://lap.physics.auth.gr/,GRC,Greece,Grèce,,Brewer,MKII,5,2015-03-02T00:00:00Z,2015-03-02T00:00:00Z,9,DS,378.7,4.7,,,10,10.0,2.17,1.8,2015-03-01T00:00:00Z,379.2,32.7,18.0,https://woudc.org/archive/Archive-NewFormat/TotalOzone_1.0_1/stn261/brewer/2015/STN261.BR005.201503.TO1
22.97,40.52,Brewer:MKII:5:TotalOzone_1.0:261:AUTH:WOUDC:2015-02-28:STN261.BR005.201502.TO1,TotalOzone_1.0,261,Thessaloniki,THE,https://gawsis.meteoswiss.ch/GAWSIS/index.html#/search/station/stationReportDetails/0-20008-0-THE,Aristotle University of Thessaloniki,AUTH:WOUDC,http://lap.physics.auth.gr/,GRC,Greece,Grèce,,Brewer,MKII,5,2015-02-01T00:00:00Z,2015-02-28T00:00:00Z,9,DS,402.4,1.0,,,9,2.0,1.61,1.7,2015-02-01T00:00:00Z,369.2,26.8,20.0,https://woudc.org/archive/Archive-NewFormat/TotalOzone_1.0_1/stn261/brewer/2015/STN261.BR005.201502.TO1
22.97,40.52,Brewer:MKII:5:TotalOzone_1.0:261:AUTH:WOUDC:2015-02-26:STN261.BR005.201502.TO1,TotalOzone_1.0,261,Thessaloniki,THE,https://gawsis.meteoswiss.ch/GAWSIS/index.html#/search/station/stationReportDetails/0-20008-0-THE,Aristotle University of Thessaloniki,AUTH:WOUDC,http://lap.physics.auth.gr/,GRC,Greece,Grèce,,Brewer,MKII,5,2015-02-01T00:00:00Z,2015-02-26T00:00:00Z,9,DS,368.7,3.1,,,9,12.0,1.97,2.4,2015-02-01T00:00:00Z,369.2,26.8,20.0,https://woudc.org/archive/Archive-NewFormat/TotalOzone_1.0_1/stn261/brewer/2015/STN261.BR005.201502.TO1
22.97,40.52,Brewer:MKII:5:TotalOzone_1.0:261:AUTH:WOUDC:2015-02-25:STN261.BR005.201502.TO1,TotalOzone_1.0,261,Thessaloniki,THE,https://gawsis.meteoswiss.ch/GAWSIS/index.html#/search/station/stationReportDetails/0-20008-0-THE,Aristotle University of Thessaloniki,AUTH:WOUDC,http://lap.physics.auth.gr/,GRC,Greece,Grèce,,Brewer,MKII,5,2015-02-01T00:00:00Z,2015-02-25T00:00:00Z,9,DS,358.9,2.9,,,13,2.0,2.09,1.5,2015-02-01T00:00:00Z,369.2,26.8,20.0,https://woudc.org/archive/Archive-NewFormat/TotalOzone_1.0_1/stn261/brewer/2015/STN261.BR005.201502.TO1
22.97,40.52,Brewer:MKII:5:TotalOzone_1.0:261:AUTH:WOUDC:2015-02-24:STN261.BR005.201502.TO1,TotalOzone_1.0,261,Thessaloniki,THE,https://gawsis.meteoswiss.ch/GAWSIS/index.html#/search/station/stationReportDetails/0-20008-0-THE,Aristotle University of Thessaloniki,AUTH:WOUDC,http://lap.physics.auth.gr/,GRC,Greece,Grèce,,Brewer,MKII,5,2015-02-01T00:00:00Z,2015-02-24T00:00:00Z,9,DS,341.2,0.0,,,14,1.0,2.49,1.9,2015-02-01T00:00:00Z,369.2,26.8,20.0,https://woudc.org/archive/Archive-NewFormat/TotalOzone_1.0_1/stn261/brewer/2015/STN261.BR005.201502.TO1
22.97,40.52,Brewer:MKII:5:TotalOzone_1.0:261:AUTH:WOUDC:2015-02-22:STN261.BR005.201502.TO1,TotalOzone_1.0,261,Thessaloniki,THE,https://gawsis.meteoswiss.ch/GAWSIS/index.html#/search/station/stationReportDetails/0-20008-0-THE,Aristotle University of Thessaloniki,AUTH:WOUDC,http://lap.physics.auth.gr/,GRC,Greece,Grèce,,Brewer,MKII,5,2015-02-01T00:00:00Z,2015-02-22T00:00:00Z,9,DS,327.7,0.0,,,9,1.0,1.77,2.8,2015-02-01T00:00:00Z,369.2,26.8,20.0,https://woudc.org/archive/Archive-NewFormat/TotalOzone_1.0_1/stn261/brewer/2015/STN261.BR005.201502.TO1
22.97,40.52,Brewer:MKII:5:TotalOzone_1.0:261:AUTH:WOUDC:2015-02-21:STN261.BR005.201502.TO1,TotalOzone_1.0,261,Thessaloniki,THE,https://gawsis.meteoswiss.ch/GAWSIS/index.html#/search/station/stationReportDetails/0-20008-0-THE,Aristotle University of Thessaloniki,AUTH:WOUDC,http://lap.physics.auth.gr/,GRC,Greece,Grèce,,Brewer,MKII,5,2015-02-01T00:00:00Z,2015-02-21T00:00:00Z,9,DS,314.2,3.5,,,9,14.0,1.98,1.7,2015-02-01T00:00:00Z,369.2,26.8,20.0,https://woudc.org/archive/Archive-NewFormat/TotalOzone_1.0_1/stn261/brewer/2015/STN261.BR005.201502.TO1
22.97,40.52,Brewer:MKII:5:TotalOzone_1.0:261:AUTH:WOUDC:2015-02-20:STN261.BR005.201502.TO1,TotalOzone_1.0,261,Thessaloniki,THE,https://gawsis.meteoswiss.ch/GAWSIS/index.html#/search/station/stationReportDetails/0-20008-0-THE,Aristotle University of Thessaloniki,AUTH:WOUDC,http://lap.physics.auth.gr/,GRC,Greece,Grèce,,Brewer,MKII,5,2015-02-01T00:00:00Z,2015-02-20T00:00:00Z,9,DS,354.1,11.6,,,9,11.0,2.14,2.1,2015-02-01T00:00:00Z,369.2,26.8,20.0,https://woudc.org/archive/Archive-NewFormat/TotalOzone_1.0_1/stn261/brewer/2015/STN261.BR005.201502.TO1
22.97,40.52,Brewer:MKII:5:TotalOzone_1.0:261:AUTH:WOUDC:2015-02-19:STN261.BR005.201502.TO1,TotalOzone_1.0,261,Thessaloniki,THE,https://gawsis.meteoswiss.ch/GAWSIS/index.html#/search/station/stationReportDetails/0-20008-0-THE,Aristotle University of Thessaloniki,AUTH:WOUDC,http://lap.physics.auth.gr/,GRC,Greece,Grèce,,Brewer,MKII,5,2015-02-01T00:00:00Z,2015-02-19T00:00:00Z,9,DS,360.9,5.3,,,9,10.0,2.01,2.1,2015-02-01T00:00:00Z,369.2,26.8,20.0,https://woudc.org/archive/Archive-NewFormat/TotalOzone_1.0_1/stn261/brewer/2015/STN261.BR005.201502.TO1
22.97,40.52,Brewer:MKII:5:TotalOzone_1.0:261:AUTH:WOUDC:2015-02-18:STN261.BR005.201502.TO1,TotalOzone_1.0,261,Thessaloniki,THE,https://gawsis.meteoswiss.ch/GAWSIS/index.html#/search/station/stationReportDetails/0-20008-0-THE,Aristotle University of Thessaloniki,AUTH:WOUDC,http://lap.physics.auth.gr/,GRC,Greece,Grèce,,Brewer,MKII,5,2015-02-01T00:00:00Z,2015-02-18T00:00:00Z,9,DS,366.0,7.1,,,9,14.0,2.00,1.7,2015-02-01T00:00:00Z,369.2,26.8,20.0,https://woudc.org/archive/Archive-NewFormat/TotalOzone_1.0_1/stn261/brewer/2015/STN261.BR005.201502.TO1
22.97,40.52,Brewer:MKII:5:TotalOzone_1.0:261:AUTH:WOUDC:2015-02-13:STN261.BR005.201502.TO1,TotalOzone_1.0,261,Thessaloniki,THE,https://gawsis.meteoswiss.ch/GAWSIS/index.html#/search/station/stationReportDetails/0-20008-0-THE,Aristotle University of Thessaloniki,AUTH:WOUDC,http://lap.physics.auth.gr/,GRC,Greece,Grèce,,Brewer,MKII,5,2015-02-01T00:00:00Z,2015-02-13T00:00:00Z,9,DS,375.2,0.9,,,8,6.0,2.35,1.0,2015-02-01T00:00:00Z,369.2,26.8,20.0,https://woudc.org/archive/Archive-NewFormat/TotalOzone_1.0_1/stn261/brewer/2015/STN261.BR005.201502.TO1
22.97,40.52,Brewer:MKII:5:TotalOzone_1.0:261:AUTH:WOUDC:2015-02-12:STN261.BR005.201502.TO1,TotalOzone_1.0,261,Thessaloniki,THE,https://gawsis.meteoswiss.ch/GAWSIS/index.html#/search/station/stationReportDetails/0-20008-0-THE,Aristotle University of Thessaloniki,AUTH:WOUDC,http://lap.physics.auth.gr/,GRC,Greece,Grèce,,Brewer,MKII,5,2015-02-01T00:00:00Z,2015-02-12T00:00:00Z,9,DS,389.2,2.3,,,10,9.0,2.20,1.2,2015-02-01T00:00:00Z,369.2,26.8,20.0,https://woudc.org/archive/Archive-NewFormat/TotalOzone_1.0_1/stn261/brewer/2015/STN261.BR005.201502.TO1
22.97,40.52,Brewer:MKII:5:TotalOzone_1.0:261:AUTH:WOUDC:2015-02-11:STN261.BR005.201502.TO1,TotalOzone_1.0,261,Thessaloniki,THE,https://gawsis.meteoswiss.ch/GAWSIS/index.html#/search/station/stationReportDetails/0-20008-0-THE,Aristotle University of Thessaloniki,AUTH:WOUDC,http://lap.physics.auth.gr/,GRC,Greece,Grèce,,Brewer,MKII,5,2015-02-01T00:00:00Z,2015-02-11T00:00:00Z,9,DS,393.4,8.5,,,10,10.0,2.15,1.2,2015-02-01T00:00:00Z,369.2,26.8,20.0,https://woudc.org/archive/Archive-NewFormat/TotalOzone_1.0_1/stn261/brewer/2015/STN261.BR005.201502.TO1
22.97,40.52,Brewer:MKII:5:TotalOzone_1.0:261:AUTH:WOUDC:2015-02-10:STN261.BR005.201502.TO1,TotalOzone_1.0,261,Thessaloniki,THE,https://gawsis.meteoswiss.ch/GAWSIS/index.html#/search/station/stationReportDetails/0-20008-0-THE,Aristotle University of Thessaloniki,AUTH:WOUDC,http://lap.physics.auth.gr/,GRC,Greece,Grèce,,Brewer,MKII,5,2015-02-01T00:00:00Z,2015-02-10T00:00:00Z,9,DS,420.5,3.3,,,10,8.0,2.13,1.2,2015-02-01T00:00:00Z,369.2,26.8,20.0,https://woudc.org/archive/Archive-NewFormat/TotalOzone_1.0_1/stn261/brewer/2015/STN261.BR005.201502.TO1
22.97,40.52,Brewer:MKII:5:TotalOzone_1.0:261:AUTH:WOUDC:2015-02-08:STN261.BR005.201502.TO1,TotalOzone_1.0,261,Thessaloniki,THE,https://gawsis.meteoswiss.ch/GAWSIS/index.html#/search/station/stationReportDetails/0-20008-0-THE,Aristotle University of Thessaloniki,AUTH:WOUDC,http://lap.physics.auth.gr/,GRC,Greece,Grèce,,Brewer,MKII,5,2015-02-01T00:00:00Z,2015-02-08T00:00:00Z,9,DS,391.6,0.0,,,11,1.0,1.80,1.5,2015-02-01T00:00:00Z,369.2,26.8,20.0,https://woudc.org/archive/Archive-NewFormat/TotalOzone_1.0_1/stn261/brewer/2015/STN261.BR005.201502.TO1
22.97,40.52,Brewer:MKII:5:TotalOzone_1.0:261:AUTH:WOUDC:2015-02-07:STN261.BR005.201502.TO1,TotalOzone_1.0,261,Thessaloniki,THE,https://gawsis.meteoswiss.ch/GAWSIS/index.html#/search/station/stationReportDetails/0-20008-0-THE,Aristotle University of Thessaloniki,AUTH:WOUDC,http://lap.physics.auth.gr/,GRC,Greece,Grèce,,Brewer,MKII,5,2015-02-01T00:00:00Z,2015-02-07T00:00:00Z,9,DS,369.5,3.0,,,9,7.0,2.15,1.4,2015-02-01T00:00:00Z,369.2,26.8,20.0,https://woudc.org/archive/Archive-NewFormat/TotalOzone_1.0_1/stn261/brewer/2015/STN261.BR005.201502.TO1
22.97,40.52,Brewer:MKII:5:TotalOzone_1.0:261:AUTH:WOUDC:2015-02-05:STN261.BR005.201502.TO1,TotalOzone_1.0,261,Thessaloniki,THE,https://gawsis.meteoswiss.ch/GAWSIS/index.html#/search/station/stationReportDetails/0-20008-0-THE,Aristotle University of Thessaloniki,AUTH:WOUDC,http://lap.physics.auth.gr/,GRC,Greece,Grèce,,Brewer,MKII,5,2015-02-01T00:00:00Z,2015-02-05T00:00:00Z,9,DS,356.1,3.5,,,9,8.0,2.14,1.1,2015-02-01T00:00:00Z,369.2,26.8,20.0,https://woudc.org/archive/Archive-NewFormat/TotalOzone_1.0_1/stn261/brewer/2015/STN261.BR005.201502.TO1
22.97,40.52,Brewer:MKII:5:TotalOzone_1.0:261:AUTH:WOUDC:2015-02-04:STN261.BR005.201502.TO1,TotalOzone_1.0,261,Thessaloniki,THE,https://gawsis.meteoswiss.ch/GAWSIS/index.html#/search/station/stationReportDetails/0-20008-0-THE,Aristotle University of Thessaloniki,AUTH:WOUDC,http://lap.physics.auth.gr/,GRC,Greece,Grèce,,Brewer,MKII,5,2015-02-01T00:00:00Z,2015-02-04T00:00:00Z,9,DS,345.5,0.0,,,14,1.0,2.74,1.1,2015-02-01T00:00:00Z,369.2,26.8,20.0,https://woudc.org/archive/Archive-NewFormat/TotalOzone_1.0_1/stn261/brewer/2015/STN261.BR005.201502.TO1
22.97,40.52,Brewer:MKII:5:TotalOzone_1.0:261:AUTH:WOUDC:2015-02-03:STN261.BR005.201502.TO1,TotalOzone_1.0,261,Thessaloniki,THE,https://gawsis.meteoswiss.ch/GAWSIS/index.html#/search/station/stationReportDetails/0-20008-0-THE,Aristotle University of Thessaloniki,AUTH:WOUDC,http://lap.physics.auth.gr/,GRC,Greece,Grèce,,Brewer,MKII,5,2015-02-01T00:00:00Z,2015-02-03T00:00:00Z,9,DS,377.4,3.0,,,10,9.0,2.18,1.4,2015-02-01T00:00:00Z,369.2,26.8,20.0,https://woudc.org/archive/Archive-NewFormat/TotalOzone_1.0_1/stn261/brewer/2015/STN261.BR005.201502.TO1
22.97,40.52,Brewer:MKII:5:TotalOzone_1.0:261:AUTH:WOUDC:2015-02-02:STN261.BR005.201502.TO1,TotalOzone_1.0,261,Thessaloniki,THE,https://gawsis.meteoswiss.ch/GAWSIS/index.html#/search/station/stationReportDetails/0-20008-0-THE,Aristotle University of Thessaloniki,AUTH:WOUDC,http://lap.physics.auth.gr/,GRC,Greece,Grèce,,Brewer,MKII,5,2015-02-01T00:00:00Z,2015-02-02T00:00:00Z,9,DS,409.8,5.8,,,9,7.0,2.31,0.7,2015-02-01T00:00:00Z,369.2,26.8,20.0,https://woudc.org/archive/Archive-NewFormat/TotalOzone_1.0_1/stn261/brewer/2015/STN261.BR005.201502.TO1
22.97,40.52,Brewer:MKII:5:TotalOzone_1.0:261:AUTH:WOUDC:2015-02-01:STN261.BR005.201502.TO1,TotalOzone_1.0,261,Thessaloniki,THE,https://gawsis.meteoswiss.ch/GAWSIS/index.html#/search/station/stationReportDetails/0-20008-0-THE,Aristotle University of Thessaloniki,AUTH:WOUDC,http://lap.physics.auth.gr/,GRC,Greece,Grèce,,Brewer,MKII,5,2015-02-01T00:00:00Z,2015-02-01T00:00:00Z,9,DS,362.6,4.0,,,10,4.0,2.07,4.1,2015-02-01T00:00:00Z,369.2,26.8,20.0,https://woudc.org/archive/Archive-NewFormat/TotalOzone_1.0_1/stn261/brewer/2015/STN261.BR005.201502.TO1
