x,y,identifier,dataset_id,station_id,station_name,station_gaw_id,station_gaw_url,contributor_name,contributor_id,contributor_url,country_id,country_name_en,country_name_fr,gaw_id,instrument_name,instrument_model,instrument_serial,observation_date,daily_date,daily_wlcode,daily_obscode,daily_columno3,daily_stdevo3,daily_utc_begin,daily_utc_end,daily_utc_mean,daily_nobs,daily_mmu,daily_columnso2,monthly_date,monthly_columno3,monthly_stdevo3,monthly_npts,url
22.97,40.52,Brewer:MKII:5:TotalOzone_1.0:261:AUTH:WOUDC:2015-03-31:STN261.BR005.201503.TO1,TotalOzone_1.0,261,Thessaloniki,THE,https://gawsis.meteoswiss.ch/GAWSIS/index.html#/search/station/stationReportDetails/0-20008-0-THE,Aristotle University of Thessaloniki,AUTH:WOUDC,http://lap.physics.auth.gr/,GRC,Greece,Grèce,,Brewer,MKII,5,2015-03-02T00:00:00Z,2015-03-31T00:00:00Z,9,DS,361.4,16.4,,,11,30.0,1.55,1.3,2015-03-01T00:00:00Z,379.2,32.7,18.0,https://woudc.org/archive/Archive-NewFormat/TotalOzone_1.0_1/stn261/brewer/2015/STN261.BR005.201503.TO1
22.97,40.52,Brewer:MKII:5:TotalOzone_1.0:261:AUTH:WOUDC:2015-03-30:STN261.BR005.201503.TO1,TotalOzone_1.0,261,Thessaloniki,THE,https://gawsis.meteoswiss.ch/GAWSIS/index.html#/search/station/stationReportDetails/0-20008-0-THE,Aristotle University of Thessaloniki,AUTH:WOUDC,http://lap.physics.auth.gr/,GRC,Greece,Grèce,,Brewer,MKII,5,2015-03-02T00:00:00Z,2015-03-30T00:00:00Z,9,DS,343.4,4.4,,,10,24.0,1.45,2.0,2015-03-01T00:00:00Z,379.2,32.7,18.0,https://woudc.org/archive/Archive-NewFormat/TotalOzone_1.0_1/stn261/brewer/2015/STN261.BR005.201503.TO1
22.97,40.52,Brewer:MKII:5:TotalOzone_1.0:261:AUTH:WOUDC:2015-03-29:STN261.BR005.201503.TO1,TotalOzone_1.0,261,Thessaloniki,THE,https://gawsis.meteoswiss.ch/GAWSIS/index.html#/search/station/stationReportDetails/0-20008-0-THE,Aristotle University of Thessaloniki,AUTH:WOUDC,http://lap.physics.auth.gr/,GRC,Greece,Grèce,,Brewer,MKII,5,2015-03-02T00:00:00Z,2015-03-29T00:00:00Z,9,DS,377.7,5.0,,,10,27.0,1.63,1.2,2015-03-01T00:00:00Z,379.2,32.7,18.0,https://woudc.org/archive/Archive-NewFormat/TotalOzone_1.0_1/stn261/brewer/2015/STN261.BR005.201503.TO1
22.97,40.52,Brewer:MKII:5:TotalOzone_1.0:261:AUTH:WOUDC:2015-03-28:STN261.BR005.201503.TO1,TotalOzone_1.0,261,Thessaloniki,THE,https://gawsis.meteoswiss.ch/GAWSIS/index.html#/search/station/stationReportDetails/0-20008-0-THE,Aristotle University of Thessaloniki,AUTH:WOUDC,http://lap.physics.auth.gr/,GRC,Greece,Grèce,,Brewer,MKII,5,2015-03-02T00:00:00Z,2015-03-28T00:00:00Z,9,DS,406.4,0.0,,,14,1.0,2.29,2.5,2015-03-01T00:00:00Z,379.2,32.7,18.0,https://woudc.org/archive/Archive-NewFormat/TotalOzone_1.0_1/stn261/brewer/2015/STN261.BR005.201503.TO1
22.97,40.52,Brewer:MKII:5:TotalOzone_1.0:261:AUTH:WOUDC:2015-03-22:STN261.BR005.201503.TO1,TotalOzone_1.0,261,Thessaloniki,THE,https://gawsis.meteoswiss.ch/GAWSIS/index.html#/search/station/stationReportDetails/0-20008-0-THE,Aristotle University of Thessaloniki,AUTH:WOUDC,http://lap.physics.auth.gr/,GRC,Greece,Grèce,,Brewer,MKII,5,2015-03-02T00:00:00Z,2015-03-22T00:00:00Z,9,DS,362.8,4.7,,,8,9.0,1.69,1.3,2015-03-01T00:00:00Z,379.2,32.7,18.0,https://woudc.org/archive/Archive-NewFormat/TotalOzone_1.0_1/stn261/brewer/2015/STN261.BR005.201503.TO1
22.97,40.52,Brewer:MKII:5:TotalOzone_1.0:261:AUTH:WOUDC:2015-03-21:STN261.BR005.201503.TO1,TotalOzone_1.0,261,Thessaloniki,THE,https://gawsis.meteoswiss.ch/GAWSIS/index.html#/search/station/stationReportDetails/0-20008-0-THE,Aristotle University of Thessaloniki,AUTH:WOUDC,http://lap.physics.auth.gr/,GRC,Greece,Grèce,,Brewer,MKII,5,2015-03-02T00:00:00Z,2015-03-21T00:00:00Z,9,DS,386.4,13.0,,,11,32.0,1.64,1.6,2015-03-01T00:00:00Z,379.2,32.7,18.0,https://woudc.org/archive/Archive-NewFormat/TotalOzone_1.0_1/stn261/brewer/2015/STN261.BR005.201503.TO1
22.97,40.52,Brewer:MKII:5:TotalOzone_1.0:261:AUTH:WOUDC:2015-03-20:STN261.BR005.201503.TO1,TotalOzone_1.0,261,Thessaloniki,THE,https://gawsis.meteoswiss.ch/GAWSIS/index.html#/search/station/stationReportDetails/0-20008-0-THE,Aristotle University of Thessaloniki,AUTH:WOUDC,http://lap.physics.auth.gr/,GRC,Greece,Grèce,,Brewer,MKII,5,2015-03-02T00:00:00Z,2015-03-20T00:00:00Z,9,DS,382.3,3.6,,,10,51.0,1.56,2.2,2015-03-01T00:00:00Z,379.2,32.7,18.0,https://woudc.org/archive/Archive-NewFormat/TotalOzone_1.0_1/stn261/brewer/2015/STN261.BR005.201503.TO1
22.97,40.52,Brewer:MKII:5:TotalOzone_1.0:261:AUTH:WOUDC:2015-03-19:STN261.BR005.201503.TO1,TotalOzone_1.0,261,Thessaloniki,THE,https://gawsis.meteoswiss.ch/GAWSIS/index.html#/search/station/stationReportDetails/0-20008-0-THE,Aristotle University of Thessaloniki,AUTH:WOUDC,http://lap.physics.auth.gr/,GRC,Greece,Grèce,,Brewer,MKII,5,2015-03-02T00:00:00Z,2015-03-19T00:00:00Z,9,DS,378.6,1.7,,,9,16.0,1.46,2.3,2015-03-01T00:00:00Z,379.2,32.7,18.0,https://woudc.org/archive/Archive-NewFormat/TotalOzone_1.0_1/stn261/brewer/2015/STN261.BR005.201503.TO1
22.97,40.52,Brewer:MKII:5:TotalOzone_1.0:261:AUTH:WOUDC:2015-03-17:STN261.BR005.201503.TO1,TotalOzone_1.0,261,Thessaloniki,THE,https://gawsis.meteoswiss.ch/GAWSIS/index.html#/search/station/stationReportDetails/0-20008-0-THE,Aristotle University of Thessaloniki,AUTH:WOUDC,http://lap.physics.auth.gr/,GRC,Greece,Grèce,,Brewer,MKII,5,2015-03-02T00:00:00Z,2015-03-17T00:00:00Z,9,DS,354.8,2.7,,,12,13.0,1.65,1.6,2015-03-01T00:00:00Z,379.2,32.7,18.0,https://woudc.org/archive/Archive-NewFormat/TotalOzone_1.0_1/stn261/brewer/2015/STN261.BR005.201503.TO1
22.97,40.52,Brewer:MKII:5:TotalOzone_1.0:261:AUTH:WOUDC:2015-03-16:STN261.BR005.201503.TO1,TotalOzone_1.0,261,Thessaloniki,THE,https://gawsis.meteoswiss.ch/GAWSIS/index.html#/search/station/stationReportDetails/0-20008-0-THE,Aristotle University of Thessaloniki,AUTH:WOUDC,http://lap.physics.auth.gr/,GRC,Greece,Grèce,,Brewer,MKII,5,2015-03-02T00:00:00Z,2015-03-16T00:00:00Z,9,DS,342.7,1.0,,,12,2.0,1.77,1.5,2015-03-01T00:00:00Z,379.2,32.7,18.0,https://woudc.org/archive/Archive-NewFormat/TotalOzone_1.0_1/stn261/brewer/2015/STN261.BR005.201503.TO1
